Grave,Individual,Level,Orientation,Type,Sex,Age,Position,Pottery types,Other objects,Spatial context
1,A,"0,7",nw.,sealed libn box,male,adult,extended;hands at side;face ,13a,52 on the face west of the feet,ubaid period cemetery
1,B,"0,7",nw.,sealed libn box,female,adult,extended;hands at side;face eastward,,,ubaid period cemetery
2,A,0,nw.,on libn floor,,adult,extended;hands near pelvis;face westward,,,ubaid period cemetery
3,A,"0,3",nw.,libn box,male,adult,extended on back;hand near pelvis;face westward,"5a, 12b",,ubaid period cemetery.
3,B,"0,3",nw.,libn box,female,adult,extended on right side;face westward,"8c, 12b",,ubaid period cemetery. female skeleton was pushed aside when the male skeleton was buried.
4,A,0,,,,,,,,ubaid period cemetery.
5,A,0,,,,,,,,ubaid period cemetery.
6,A,0,,,,,,,,ubaid period cemetery.
7,A,"0,55",nw,sealed libn box,,child,extended;face upward,,,ubaid period cemetery.
8,A,"0,8",nw.,libn box,,adult,legs slightly bent;hands meeting at the pelvis;face upward,,meat bone on the breast,ubaid period cemetery.
9,A,"1,5",nw,"buried on pure sand, lump of clay beneath the head",,adult,body on back;legs slightly bent;hands meeting at pelvis;face upward,,,ubaid period cemetery.
10,A,"0,3",nw,simple inhumation,,adult,extended;hands at side;face slightly westward,"6a, 5c, 13a",meat bone,ubaid period cemetery.
11,A,,,,,,,,,ubaid period cemetery.
12,A,"0,6",nw.,libn box,,adult,extended;right hand placed near pelvis;left hand at side,,,ubaid period cemetery.
13,A,"0,6",nw,libn box,,adult,skull collapsed;'displaced' (disturbed?),10b,,ubaid period cemetery.
13,B,"0,6",nw,libn box,,adult,extended;face upward;hands near pelvis,"5b, 13e",,ubaid period cemetery.
14,A,1,nw,buried in sand,,child,body extended;on right side,,,ubaid period cemetery.
15,A,"0,8",,libn box,,adolescent,skeleton of an adolescent;extended;hands by the sides;face slightly westward,"1b, 7a, 1b, 5c, 5a, 13e",,ubaid period cemetery.
16,A,"0,8",nw,sealed libn box,,child,extended;hands near pelvis,"13c, 1c, 5a",,ubaid period cemetery.
17,A,"0,4",,libn box,,adult,extended;hands near pelvis;face slightly eastward,"5a, 5c, 12a, 1b",,ubaid period cemetery. on each side of this grave was a child buried outside the box and the body of at third child was above the box.
18,B,"0,6",nw.,libn box,male,adult,body slightly turned on right side;right hand extended;left hand on the pelvis,"8a, 8a",,ubaid period cemetery.
18,A,"0,6",,libn box,female,adult,body slightly turned on left side;right hand near pelvis,,see above,ubaid period cemetery.
19,A,,,,,,,39c,pottery type,ubaid period cemetery.
20,A,,,,,,,5c,pottery type,ubaid period cemetery.
21,A,"0,1",nw,Buried above sealed libn box of grave 22,male,adult,extended;skull collapsed;left arm extended;right hand flexed on pelvis,,stone jar 35cm from right of shoulder ceramic dish and a mace head near the skull,buried above sealed libn box of grave 22. 'probably of uruk period'.
22,A,"0,45",nw.,libn box,female,adult,extended;face slightly westward;arms and legs in disorder,"3b, 5a, 1b",,ubaid period cemetery.
