Grave,Individual,Level,Orientation,Type,Sex,Age,Position,Size,Pottery types,Other objects,Presevation,Photo Diagram
1,A,0.70,N.W,Sealed libn box,Male,Adult,extended;hands at side;face westward,,52 on the face;13A west of the feet,,bad,
1,B,,,,Female,Adult,extended;hands at side;face eastward,,,,bad,
2,A,Surface,N.W,On libn floor,,Adult,extended;hands near pelvis;face westward,c.155,,,,
3,A,0.30,N.W,Libn box,Female,Adult,extended on right side;face westward,,374 8C;529 12B,,bad,
3,B,,,,Male,Adult,extended on back;hand near pelvis;face westward,c.175,383 5A;12B,,bad,
4,A,Surface,,,,,,,,,,
5,A,Surface,,,,,,,,,,
6,A,Surface,,,,,,,,,,
7,A,0.55,N.W,Sealed libn box,,Child,extended;face upward,c.75,,,bad,
8,A,0.80,N.W,Libn box,,Adult,legs slightly bent;hands meeting at pelvis,c.150,,meat-bone on breast,bad,
9,A,1.50,N.W,Buried on pure sand;lump of clay beneath the head,,Adult,body on back;legs slightly bent;hands meeting at pelvis;face upward,c.165,,,bad,
10,A,0.30,N.W,In'Ubaid deposit,,Adult,extended;hands at side;face slightly westward,,381 6A;337 5C;379 13A,meat bone,bad,
11,A,,,,,,,,,,,
12,A,0.60,N.W,Libn box,,Adult,"extended;right hand placed near pelvis, left hand at side",c.140,,,bad,
13,A,0.60,N.W,Libn box,,Adult,extended;face upward;hands near pelvis,,393 5B;13E,,bad,
13,B,,,,,Adult,"skull collapsed, displaced",,10B,,bad,
14,A,1.00,N.W,in sand,,Child,Body extended on right side,,,,bad,
15,A,0.80,N.W,Libn box,,Youth,extended;hands by the sides;face slightly westward,c.90,385 1B;382 7A;566 1B;383 5C;675 5A;387 3E,,bad,
16,A,0.80,N.W,Sealed libn box,,Child,extended;hands near pelvis,c.77,579 13C;583 1C;5C,,bad,
17,A,0.40,N.W,Libn box,,Adult,extended;hands near pelvis;face slightly eastward,c.170,5A;659 5C;632 12A;1B,,good,
18,A,0.60,N.W,Libn box,Male,Adult,"body slightly turned on right side;right hand extended, left hand on pelvis",,545 8A;546 8A,,bad,
18,B,,,,Female,Adult,body slightly turned on left side;right hand near pelvis,,,,bad,
19,A,,,,,,,,390 5C,,,
20,A,,,,,,,,390 5C,,,
21,A,0.10,N.W,Buried above sealed libn box of grave 22,Male,Adult,"extended;skull collasped;left hand extended, right hand flexed on pelvis",,stone jar;dish;mace hand,,,
22,A,0.45,N.W,Libn box,Female,Adult,"extended;face slightly westward;arms in disorder; legs in disorder",c.167,504 3B;512 5A;655 1B,,bad,
23,A,0.70,N.W,Sealed libn box,Male,Adult,"extended slightly on the right side;face westward",c.168,401 8A;863 5A;396 13A;398 6A,,good,
23,B,,,,Female,Adult,"extended;face westward",,398 6A;400 12C,,bad,
24,A,1.00,N.W,,Male,Adult,extended on back,,5C;13A,,good,
24,B,,,,Female,Adult,extended on back;face eastward;hand near pelvis,c.155,12B,,,
25,A,1.20,N.W,on pure sand,Female,Adult,extended on back;hands near pelvis,,463 7A;12B near the right foot,,very bad,
26,A,Surface,N.W,,,,extended;face eastward,,,,very bad,
27,A,Surface,N.W,much desintegrated,,,,,505 2A;1A;7A,,,
28,A,0.40,N.W,Libn box,,Child,extended;face slightly eastward,c.115,484 5C;1B;2A,,very bad,
29,A,0.40,N.W,On sand,,Child,body on back;legs slightly flexed,c.86,403 5A;12B,,bad,
30,A,0.15,N.W,Sealed libn box,Female,Adult,"extended;right hand on body;head collapsed ",,455 5A; 13D,fish and meal bones,bad,
