,Level,Pottery_0B,Pottery_10A,Pottery_10B,Pottery_11A,Pottery_11B,Pottery_12A,Pottery_12B,Pottery_12C,Pottery_13A,Pottery_13B,Pottery_13C,Pottery_13D,Pottery_13E,Pottery_1A,Pottery_1B,Pottery_1C,Pottery_2A,Pottery_2B,Pottery_3A,Pottery_3B,Pottery_3E,Pottery_4A,Pottery_4B,Pottery_52,Pottery_5A,Pottery_5B,Pottery_5C,Pottery_5D,Pottery_5R,Pottery_6A,Pottery_6B,Pottery_6D,Pottery_7A,Pottery_7B,Pottery_7C,Pottery_7D,Pottery_8A,Pottery_8B,Pottery_8C,Pottery_9A,Pottery_9C,Pottery_nan
0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,6
1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0.4,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
7,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.5,0,0,0,1,0,1,1,0,3,0,0,1,4,1,4,1,0,0,0,0,0,1,0,0,5,0,3,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1
9,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,0.6,0,0,1,1,0,0,1,0,2,0,1,0,4,0,2,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
11,0.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.7,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
13,0.75,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0.8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,3,0,0,1,0,1,2,0,0,0,0,1,1,0,0,5
15,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,3,3,2,4,1,2,2,5,1,6,4,0,0,0,1,0,0,0,0,5,1,6,0,0,3,1,0,1,0,1,0,1,1,0,0,0,5
18,1.1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
19,1.2,0,0,0,1,0,2,1,2,2,0,2,0,2,1,5,1,2,0,0,0,0,0,1,0,3,0,1,0,0,4,1,0,2,1,0,0,1,0,0,1,0,1
20,1.25,0,0,0,0,0,0,1,0,0,0,1,0,3,1,4,1,0,0,0,1,0,0,0,0,2,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,1,1
21,1.3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1.4,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,3
24,1.5,0,0,0,0,0,0,0,1,1,0,2,0,3,0,3,4,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
